"01035", 12469
"01037", 10754
"01039", 37092
"01041", 13871
"01043", 82755
"01045", 49226
"01047", 39215
"01001", 55504
"01003", 212628
"01005", 25270
"01007", 22668
"01009", 58013
"01011", 10309
"01013", 19825
"01015", 114728
"01017", 33713
"01019", 25857
"01021", 44067
"01023", 12945
"01025", 24083
"01027", 13367
"01029", 14900
"01031", 51874
"01033", 54500
"01123", 40681
"01125", 207811
"01127", 64058
"01129", 16531
"01131", 10719
"01133", 23722
"01049", 71617
"01051", 81677
"01053", 37447
"01055", 102755
"01057", 16468
"01059", 31495
"01061", 26421
"01063", 8330
"01065", 14812
"01067", 17147
"01069", 104346
"01071", 51909
"01073", 659197
"01075", 13946
"01077", 92538
"01079", 33049
"01081", 161604
"01083", 94402
"01085", 10076
"01087", 18755
"01089", 361046
"01091", 19375
"01093", 29833
"01095", 95548
"01097", 413955
"01099", 21327
"01101", 226646
"01103", 118818
"01105", 9339
"01107", 20176
"01109", 33267
"01111", 22670
"01113", 57045
"01115", 88199
"01117", 213605
"01119", 12687
"01121", 80065
"02013", 3370
"02016", 5763
"02020", 294356
"02050", 18076
"02060", 867
"02068", 2074
"02070", 4932
"02090", 99703
"02100", 2526
"02105", 2145
"02110", 32094
"02122", 58617
"02130", 13856
"02150", 13448
"02158", 8202
"02164", 1620
"02170", 106532
"02180", 9921
"02185", 9782
"02188", 7684
"02195", 3281
"02198", 6443
"02220", 8689
"02230", 1157
"02240", 6888
"02261", 9278
"02275", 2521
"02282", 605
"02290", 5365
"04025", 228168
"04027", 207534
"04001", 71606
"04003", 124756
"04005", 140776
"04007", 53501
"04009", 37466
"04011", 9455
"04012", 20601
"04013", 4307033
"04015", 207200
"04017", 108956
"04019", 1022769
"04021", 430237
"04023", 46212
"05001", 17967
"05003", 20283
"05005", 41355
"05007", 266300
"05083", 21722
"05085", 72898
"05087", 16339
"05089", 16428
"05091", 43984
"05093", 42159
"05009", 37381
"05011", 10864
"05013", 5247
"05015", 27944
"05017", 10636
"05019", 22293
"05021", 14920
"05023", 25048
"05025", 8202
"05027", 23627
"05029", 20916
"05031", 107115
"05033", 62996
"05035", 48750
"05037", 16863
"05039", 7393
"05041", 11764
"05043", 18547
"05045", 123654
"05047", 17890
"05049", 12055
"05051", 98658
"05053", 18165
"05055", 45053
"05057", 21861
"05059", 33574
"05061", 13478
"05063", 37504
"05065", 13686
"05067", 17135
"05069", 69115
"05071", 26552
"05073", 6862
"05075", 16525
"05077", 9176
"05079", 13646
"05081", 12359
"05095", 7085
"05097", 8919
"05099", 8327
"05101", 7828
"05103", 23868
"05105", 10348
"05107", 18572
"05109", 10726
"05111", 24154
"05113", 20118
"05115", 63835
"05117", 8248
"05119", 393956
"05121", 17557
"05123", 25930
"05125", 119323
"05127", 10445
"05129", 7938
"05131", 128107
"05133", 17115
"05135", 17393
"05137", 12537
"05139", 39449
"05141", 16506
"05143", 231996
"05145", 79016
"05147", 6571
"05149", 21523
"06031", 150101
"06033", 64246
"06035", 31163
"06037", 10163507
"06039", 156890
"06041", 260955
"06001", 1663190
"06003", 1120
"06005", 38626
"06007", 229294
"06009", 45670
"06011", 21805
"06013", 1147439
"06015", 27470
"06017", 188987
"06019", 989255
"06021", 28094
"06023", 136754
"06025", 182830
"06027", 18026
"06029", 893119
"06115", 77031
"06043", 17569
"06045", 88018
"06047", 272673
"06049", 8859
"06051", 14168
"06053", 437907
"06055", 140973
"06057", 99814
"06059", 3190400
"06061", 386166
"06063", 18742
"06065", 2423266
"06067", 1530615
"06069", 60310
"06071", 2157404
"06073", 3337685
"06075", 884363
"06077", 745424
"06079", 283405
"06081", 771410
"06083", 448150
"06085", 1938153
"06087", 275897
"06089", 179921
"06091", 2999
"06093", 43853
"06095", 445458
"06097", 504217
"06099", 547899
"06101", 96648
"06103", 63926
"06105", 12709
"06107", 464493
"06109", 54248
"06111", 854223
"06113", 219116
"08001", 503167
"08003", 16551
"08005", 643052
"08007", 13315
"08009", 3562
"08095", 4292
"08097", 17890
"08099", 12070
"08101", 166475
"08103", 6420
"08105", 11301
"08107", 25220
"08011", 5938
"08013", 322514
"08014", 68341
"08015", 19638
"08017", 1845
"08019", 9574
"08021", 8184
"08023", 3776
"08025", 5810
"08027", 4874
"08029", 30568
"08031", 704621
"08033", 2067
"08035", 335299
"08037", 54772
"08039", 25642
"08041", 699232
"08043", 47559
"08045", 59118
"08047", 6013
"08049", 15321
"08051", 16939
"08053", 794
"08055", 6662
"08057", 1385
"08059", 574613
"08061", 1376
"08063", 7158
"08065", 7778
"08067", 55589
"08069", 343976
"08071", 14238
"08073", 5546
"08075", 21896
"08077", 151616
"08079", 766
"08081", 13131
"08083", 26140
"08085", 41784
"08087", 28192
"08089", 18326
"08091", 4794
"08093", 17905
"08109", 6626
"08111", 715
"08113", 7967
"08115", 2344
"08117", 30585
"08119", 24646
"08121", 4938
"08123", 304633
"08125", 10075
"09001", 949921
"09003", 895388
"09005", 182177
"09007", 163410
"09009", 860435
"09011", 269033
"09013", 151461
"09015", 116359
"10001", 176824
"10003", 559793
"10005", 225322
"11001", 693972
"12033", 313512
"12035", 110510
"12037", 11727
"12039", 46071
"12041", 17743
"12043", 13754
"12001", 266944
"12003", 28283
"12005", 183563
"12007", 27038
"12009", 589162
"12011", 1935878
"12013", 14483
"12015", 182033
"12017", 145647
"12019", 212230
"12021", 372880
"12023", 69612
"12027", 36862
"12029", 16673
"12031", 937934
"12131", 68376
"12133", 24567
"12045", 16160
"12047", 14184
"12049", 27411
"12051", 40347
"12053", 186553
"12055", 102883
